Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 96   R 38.40 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 7.680000e-03   eta 7.680000e-03   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 2.00   smooth 1.00   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 1536 steps; running 3072 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
    1356  0.883  3.332e-05  1.016e-04    0.328  0.0273 6.337e-06 1.680e-05  -0.0726 6.04e-04 8.22e-02 3.41e-01  0.0009  1.056 -4.09e-09
    1368  0.891  3.271e-05  1.002e-04    0.326  0.0266 6.191e-06 1.645e-05  -0.0735 6.07e-04 8.12e-02 3.43e-01  0.0009  1.057 -3.98e-09
    1380  0.898  3.211e-05  9.880e-05    0.325  0.0258 6.048e-06 1.610e-05  -0.0744 6.10e-04 8.02e-02 3.44e-01  0.0009  1.059 -3.54e-09
    1392  0.906  3.153e-05  9.743e-05    0.324  0.0251 5.910e-06 1.577e-05  -0.0753 6.14e-04 7.91e-02 3.45e-01  0.0009  1.060 -3.58e-09
    1404  0.914  3.096e-05  9.608e-05    0.322  0.0244 5.776e-06 1.544e-05  -0.0762 6.17e-04 7.81e-02 3.46e-01  0.0009  1.061 -3.36e-09
    1416  0.922  3.041e-05  9.476e-05    0.321  0.0237 5.647e-06 1.512e-05  -0.0770 6.20e-04 7.71e-02 3.47e-01  0.0009  1.062 -3.54e-09
    1428  0.930  2.988e-05  9.347e-05    0.320  0.0230 5.521e-06 1.481e-05  -0.0779 6.24e-04 7.62e-02 3.49e-01  0.0009  1.063 -3.74e-09
    1440  0.937  2.935e-05  9.220e-05    0.318  0.0223 5.398e-06 1.451e-05  -0.0786 6.27e-04 7.52e-02 3.50e-01  0.0009  1.064 -3.96e-09
    1452  0.945  2.884e-05  9.095e-05    0.317  0.0217 5.279e-06 1.421e-05  -0.0794 6.30e-04 7.42e-02 3.51e-01  0.0009  1.066 -3.59e-09
    1464  0.953  2.835e-05  8.973e-05    0.316  0.0211 5.164e-06 1.392e-05  -0.0802 6.33e-04 7.32e-02 3.52e-01  0.0008  1.067 -3.20e-09
    1476  0.961  2.786e-05  8.854e-05    0.315  0.0205 5.052e-06 1.364e-05  -0.0809 6.36e-04 7.23e-02 3.54e-01  0.0008  1.068 -3.00e-09
    1488  0.969  2.739e-05  8.736e-05    0.314  0.0199 4.943e-06 1.336e-05  -0.0816 6.39e-04 7.14e-02 3.55e-01  0.0008  1.069 -3.29e-09
    1500  0.977  2.693e-05  8.621e-05    0.312  0.0193 4.838e-06 1.310e-05  -0.0823 6.42e-04 7.05e-02 3.56e-01  0.0008  1.070 -3.65e-09
    1512  0.984  2.648e-05  8.507e-05    0.311  0.0188 4.735e-06 1.283e-05  -0.0830 6.45e-04 6.96e-02 3.57e-01  0.0008  1.071 -3.59e-09
    1524  0.992  2.605e-05  8.396e-05    0.310  0.0183 4.635e-06 1.258e-05  -0.0836 6.48e-04 6.87e-02 3.59e-01  0.0008  1.072 -3.60e-09
