Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 128   R 51.20 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.024000e-02   eta 1.024000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 4.00   smooth 1.00   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 2048 steps; running 4096 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000 -0.0000 5.231e-05 9.607e-05   0.0400 1.58e-12 1.29e-01 2.30e-07  0.5064  0.913  0.00e+00
     848  0.414  1.202e-04  3.012e-04    0.399  0.0405 1.758e-05 4.619e-05   0.0142 3.85e-04 1.88e-01 2.47e-01  0.0051  0.961 -4.28e-09
     864  0.422  1.170e-04  2.940e-04    0.398  0.0411 1.703e-05 4.460e-05   0.0123 3.90e-04 1.84e-01 2.49e-01  0.0050  0.964 -4.26e-09
     880  0.430  1.140e-04  2.871e-04    0.397  0.0417 1.651e-05 4.309e-05   0.0103 3.95e-04 1.80e-01 2.51e-01  0.0050  0.967 -4.48e-09
     896  0.438  1.110e-04  2.804e-04    0.396  0.0423 1.600e-05 4.164e-05   0.0082 4.00e-04 1.76e-01 2.53e-01  0.0049  0.969 -4.59e-09
     912  0.445  1.082e-04  2.740e-04    0.395  0.0430 1.551e-05 4.025e-05   0.0061 4.05e-04 1.72e-01 2.55e-01  0.0048  0.972 -4.69e-09
     928  0.453  1.055e-04  2.678e-04    0.394  0.0435 1.504e-05 3.892e-05   0.0040 4.10e-04 1.69e-01 2.57e-01  0.0048  0.975 -4.89e-09
     944  0.461  1.028e-04  2.618e-04    0.393  0.0441 1.458e-05 3.765e-05   0.0019 4.15e-04 1.65e-01 2.59e-01  0.0047  0.978 -5.18e-09
     960  0.469  1.002e-04  2.560e-04    0.392  0.0447 1.414e-05 3.644e-05  -0.0003 4.20e-04 1.61e-01 2.61e-01  0.0047  0.981 -5.30e-09
     976  0.477  9.776e-05  2.504e-04    0.390  0.0452 1.371e-05 3.527e-05  -0.0025 4.25e-04 1.60e-01 2.63e-01  0.0047  0.983 -4.89e-09
     992  0.484  9.535e-05  2.449e-04    0.389  0.0457 1.329e-05 3.415e-05  -0.0047 4.30e-04 1.59e-01 2.65e-01  0.0046  0.986 -4.99e-09
    1008  0.492  9.301e-05  2.397e-04    0.388  0.0462 1.289e-05 3.308e-05  -0.0069 4.35e-04 1.58e-01 2.67e-01  0.0046  0.988 -4.79e-09
    1024  0.500  9.074e-05  2.346e-04    0.387  0.0467 1.251e-05 3.205e-05  -0.0092 4.40e-04 1.57e-01 2.69e-01  0.0046  0.991 -4.52e-09
    1040  0.508  8.855e-05  2.297e-04    0.385  0.0472 1.213e-05 3.107e-05  -0.0114 4.45e-04 1.56e-01 2.71e-01  0.0045  0.993 -4.82e-09
    1056  0.516  8.641e-05  2.249e-04    0.384  0.0476 1.177e-05 3.012e-05  -0.0136 4.50e-04 1.54e-01 2.72e-01  0.0045  0.996 -4.76e-09
    1072  0.523  8.434e-05  2.203e-04    0.383  0.0480 1.142e-05 2.922e-05  -0.0158 4.55e-04 1.53e-01 2.74e-01  0.0044  0.998 -4.91e-09
    1088  0.531  8.233e-05  2.159e-04    0.381  0.0484 1.108e-05 2.834e-05  -0.0181 4.60e-04 1.52e-01 2.76e-01  0.0044  1.000 -5.05e-09
    1104  0.539  8.037e-05  2.115e-04    0.380  0.0487 1.075e-05 2.750e-05  -0.0203 4.65e-04 1.51e-01 2.78e-01  0.0043  1.003 -5.00e-09
    1120  0.547  7.847e-05  2.073e-04    0.378  0.0490 1.044e-05 2.669e-05  -0.0224 4.69e-04 1.49e-01 2.80e-01  0.0043  1.005 -4.80e-09
    1136  0.555  7.662e-05  2.033e-04    0.377  0.0492 1.013e-05 2.592e-05  -0.0246 4.74e-04 1.48e-01 2.81e-01  0.0042  1.007 -4.58e-09
    1152  0.562  7.483e-05  1.993e-04    0.375  0.0495 9.835e-06 2.517e-05  -0.0268 4.79e-04 1.46e-01 2.83e-01  0.0042  1.009 -4.55e-09
    1168  0.570  7.309e-05  1.955e-04    0.374  0.0496 9.549e-06 2.445e-05  -0.0289 4.84e-04 1.44e-01 2.85e-01  0.0042  1.011 -4.91e-09
    1184  0.578  7.139e-05  1.918e-04    0.372  0.0497 9.272e-06 2.375e-05  -0.0310 4.89e-04 1.42e-01 2.87e-01  0.0041  1.013 -4.57e-09
    1200  0.586  6.975e-05  1.882e-04    0.371  0.0498 9.004e-06 2.308e-05  -0.0331 4.94e-04 1.40e-01 2.88e-01  0.0041  1.015 -4.76e-09
    1216  0.594  6.814e-05  1.846e-04    0.369  0.0498 8.744e-06 2.244e-05  -0.0351 4.98e-04 1.37e-01 2.90e-01  0.0040  1.017 -4.79e-09
    1232  0.602  6.659e-05  1.812e-04    0.367  0.0498 8.494e-06 2.181e-05  -0.0372 5.03e-04 1.35e-01 2.92e-01  0.0040  1.019 -5.14e-09
    1248  0.609  6.507e-05  1.779e-04    0.366  0.0498 8.251e-06 2.121e-05  -0.0392 5.08e-04 1.33e-01 2.94e-01  0.0040  1.021 -5.09e-09
    1264  0.617  6.360e-05  1.747e-04    0.364  0.0497 8.016e-06 2.063e-05  -0.0412 5.13e-04 1.31e-01 2.95e-01  0.0039  1.023 -4.93e-09
    1280  0.625  6.217e-05  1.716e-04    0.362  0.0496 7.789e-06 2.007e-05  -0.0431 5.17e-04 1.29e-01 2.97e-01  0.0039  1.024 -5.22e-09
    1296  0.633  6.077e-05  1.685e-04    0.361  0.0494 7.570e-06 1.953e-05  -0.0451 5.22e-04 1.27e-01 2.99e-01  0.0039  1.026 -5.28e-09
    1312  0.641  5.942e-05  1.655e-04    0.359  0.0492 7.357e-06 1.901e-05  -0.0470 5.26e-04 1.25e-01 3.00e-01  0.0038  1.028 -5.22e-09
    1328  0.648  5.810e-05  1.626e-04    0.357  0.0490 7.152e-06 1.851e-05  -0.0489 5.31e-04 1.23e-01 3.02e-01  0.0038  1.029 -5.33e-09
    1344  0.656  5.682e-05  1.598e-04    0.356  0.0487 6.953e-06 1.802e-05  -0.0507 5.36e-04 1.21e-01 3.04e-01  0.0038  1.031 -5.10e-09
