# step t/Te E_u E_b ratio H_c enstrophy j2 cosJB bmean bmax divb BnB Bshell dmass
1424 0.927083 3.00336097e-05 9.39761641e-05 0.319588 0.023742 5.558932e-06 1.491823e-05 -0.078474 6.228015e-04 7.606208e-02 3.482604e-01 0.000865 1.064680 1.811720e-06
1440 0.937500 2.93340683e-05 9.22799667e-05 0.317881 0.022872 5.395063e-06 1.451191e-05 -0.079554 6.271131e-04 7.488411e-02 3.499150e-01 0.000856 1.066307 1.811860e-06
1456 0.947917 2.86583294e-05 9.06268378e-05 0.316223 0.022037 5.237533e-06 1.411885e-05 -0.080596 6.313767e-04 7.368933e-02 3.515677e-01 0.000845 1.067921 1.811443e-06
1472 0.958333 2.80053987e-05 8.90154343e-05 0.314613 0.021236 5.086035e-06 1.373854e-05 -0.081599 6.355929e-04 7.248128e-02 3.532188e-01 0.000836 1.069522 1.810652e-06
1488 0.968750 2.73743204e-05 8.74444510e-05 0.313048 0.020471 4.940278e-06 1.337048e-05 -0.082563 6.397625e-04 7.126316e-02 3.548686e-01 0.000828 1.071110 1.809614e-06
1504 0.979167 2.67641802e-05 8.59126380e-05 0.311528 0.019744 4.799991e-06 1.301419e-05 -0.083490 6.438863e-04 7.003787e-02 3.565172e-01 0.000822 1.072686 1.808316e-06
1520 0.989583 2.61741040e-05 8.44188138e-05 0.310051 0.019055 4.664915e-06 1.266924e-05 -0.084379 6.479648e-04 6.880806e-02 3.581646e-01 0.000823 1.074249 1.806654e-06
1536 1.000000 2.56032547e-05 8.29618586e-05 0.308615 0.018404 4.534810e-06 1.233521e-05 -0.085232 6.519986e-04 6.757617e-02 3.598108e-01 0.000811 1.075800 1.804558e-06
1552 1.010417 2.50508285e-05 8.15406971e-05 0.307219 0.017790 4.409444e-06 1.201172e-05 -0.086050 6.559883e-04 6.634448e-02 3.614554e-01 0.000803 1.077338 1.802065e-06
1568 1.020833 2.45160531e-05 8.01542840e-05 0.305861 0.017215 4.288601e-06 1.169840e-05 -0.086833 6.599345e-04 6.511512e-02 3.630984e-01 0.000800 1.078864 1.799285e-06
1584 1.031250 2.39981885e-05 7.88015997e-05 0.304539 0.016677 4.172071e-06 1.139489e-05 -0.087582 6.638381e-04 6.389002e-02 3.647394e-01 0.000795 1.080380 1.796309e-06
