# step t/Te E_u E_b ratio H_c enstrophy j2 cosJB bmean bmax divb BnB Bshell dmass
1392 0.906250 2.24863946e-05 4.77872447e-05 0.470552 -0.022016 3.361216e-06 8.221674e-06 -0.024491 2.019028e-03 4.489281e-02 3.458928e-01 0.272472 0.002970 -3.822161e-07
1408 0.916667 2.19255271e-05 4.68014149e-05 0.468480 -0.024029 3.255608e-06 7.970656e-06 -0.025735 2.018607e-03 4.420150e-02 3.473359e-01 0.273216 0.002942 -3.699140e-07
1424 0.927083 2.13835460e-05 4.58444265e-05 0.466437 -0.025979 3.154314e-06 7.729100e-06 -0.026970 2.018069e-03 4.353209e-02 3.487762e-01 0.273913 0.002915 -3.580009e-07
1440 0.937500 2.08596428e-05 4.49151917e-05 0.464423 -0.027864 3.057108e-06 7.496550e-06 -0.028198 2.017417e-03 4.288469e-02 3.502145e-01 0.274572 0.002887 -3.467346e-07
1456 0.947917 2.03530470e-05 4.40126549e-05 0.462436 -0.029684 2.963777e-06 7.272581e-06 -0.029419 2.016657e-03 4.225909e-02 3.516516e-01 0.275207 0.002861 -3.360855e-07
1472 0.958333 1.98630243e-05 4.31357848e-05 0.460477 -0.031438 2.874117e-06 7.056783e-06 -0.030634 2.015794e-03 4.165477e-02 3.530885e-01 0.275839 0.002835 -3.257862e-07
1488 0.968750 1.93888805e-05 4.22835980e-05 0.458544 -0.033127 2.787941e-06 6.848771e-06 -0.031845 2.014831e-03 4.107103e-02 3.545261e-01 0.276469 0.002809 -3.155929e-07
1504 0.979167 1.89299572e-05 4.14551840e-05 0.456637 -0.034750 2.705072e-06 6.648186e-06 -0.033052 2.013772e-03 4.050698e-02 3.559652e-01 0.277080 0.002784 -3.054937e-07
1520 0.989583 1.84856275e-05 4.06497044e-05 0.454754 -0.036308 2.625346e-06 6.454694e-06 -0.034258 2.012622e-03 3.996160e-02 3.574063e-01 0.277677 0.002759 -2.956734e-07
1536 1.000000 1.80552953e-05 3.98663694e-05 0.452895 -0.037803 2.548609e-06 6.267987e-06 -0.035464 2.011384e-03 3.943376e-02 3.588500e-01 0.278256 0.002735 -2.863083e-07
1552 1.010417 1.76383917e-05 3.91044146e-05 0.451059 -0.039236 2.474719e-06 6.087773e-06 -0.036670 2.010061e-03 3.892219e-02 3.602965e-01 0.278843 0.002711 -2.774031e-07
1568 1.020833 1.72343741e-05 3.83630948e-05 0.449244 -0.040608 2.403539e-06 5.913775e-06 -0.037879 2.008658e-03 3.842553e-02 3.617462e-01 0.279436 0.002688 -2.688030e-07
1584 1.031250 1.68427266e-05 3.76416949e-05 0.447449 -0.041921 2.334940e-06 5.745728e-06 -0.039092 2.007177e-03 3.794233e-02 3.631996e-01 0.280043 0.002664 -2.603438e-07
1600 1.041667 1.64629583e-05 3.69395436e-05 0.445673 -0.043177 2.268801e-06 5.583384e-06 -0.040309 2.005621e-03 3.747112e-02 3.646570e-01 0.280647 0.002642 -2.519911e-07
1616 1.052083 1.60946009e-05 3.62560150e-05 0.443915 -0.044377 2.205011e-06 5.426514e-06 -0.041532 2.003992e-03 3.701040e-02 3.661184e-01 0.281251 0.002619 -2.438463e-07
1632 1.062500 1.57372077e-05 3.55905171e-05 0.442174 -0.045524 2.143464e-06 5.274898e-06 -0.042762 2.002295e-03 3.655868e-02 3.675838e-01 0.281839 0.002597 -2.360284e-07
1648 1.072917 1.53903517e-05 3.49424775e-05 0.440448 -0.046619 2.084059e-06 5.128333e-06 -0.044000 2.000531e-03 3.611449e-02 3.690532e-01 0.282398 0.002575 -2.285567e-07
1664 1.083333 1.50536251e-05 3.43113377e-05 0.438736 -0.047663 2.026701e-06 4.986622e-06 -0.045248 1.998702e-03 3.570543e-02 3.705266e-01 0.282949 0.002553 -2.213416e-07
1680 1.093750 1.47266389e-05 3.36965584e-05 0.437037 -0.048660 1.971300e-06 4.849577e-06 -0.046505 1.996811e-03 3.533237e-02 3.720038e-01 0.283502 0.002532 -2.142738e-07
1696 1.104167 1.44090224e-05 3.30976273e-05 0.435349 -0.049609 1.917773e-06 4.717020e-06 -0.047774 1.994861e-03 3.495219e-02 3.734848e-01 0.284063 0.002511 -2.073171e-07
1712 1.114583 1.41004213e-05 3.25140613e-05 0.433671 -0.050514 1.866038e-06 4.588783e-06 -0.049054 1.992852e-03 3.456400e-02 3.749693e-01 0.284621 0.002490 -2.005239e-07
1728 1.125000 1.38004975e-05 3.19454005e-05 0.432003 -0.051375 1.816020e-06 4.464708e-06 -0.050347 1.990788e-03 3.416714e-02 3.764571e-01 0.285176 0.002469 -1.939701e-07
1744 1.135417 1.35089279e-05 3.13912000e-05 0.430341 -0.052196 1.767648e-06 4.344643e-06 -0.051654 1.988669e-03 3.376112e-02 3.779477e-01 0.285738 0.002449 -1.876787e-07
1760 1.145833 1.32254034e-05 3.08510253e-05 0.428686 -0.052977 1.720854e-06 4.228443e-06 -0.052974 1.986498e-03 3.334569e-02 3.794408e-01 0.286292 0.002429 -1.815998e-07
1776 1.156250 1.29496290e-05 3.03244543e-05 0.427036 -0.053721 1.675572e-06 4.115969e-06 -0.054310 1.984277e-03 3.292072e-02 3.809360e-01 0.286838 0.002409 -1.756612e-07
1792 1.166667 1.26813234e-05 2.98110827e-05 0.425390 -0.054429 1.631742e-06 4.007087e-06 -0.055660 1.982006e-03 3.248627e-02 3.824330e-01 0.287371 0.002390 -1.698305e-07
1808 1.177083 1.24202180e-05 2.93105251e-05 0.423746 -0.055105 1.589306e-06 3.901670e-06 -0.057026 1.979688e-03 3.204254e-02 3.839313e-01 0.287889 0.002370 -1.641333e-07
