# step t/Te E_u E_b ratio H_c enstrophy j2 cosJB bmean bmax divb BnB dmass
3040 2.968750 8.74608380e-07 1.90987173e-05 0.045794 -0.011636 1.078781e-07 1.015085e-06 0.213565 2.873981e-03 1.497699e-02 4.512753e-01 0.000834 1.037209e-06
3072 3.000000 8.42773505e-07 1.89023184e-05 0.044586 -0.010366 1.039799e-07 9.935310e-07 0.212595 2.884706e-03 1.491979e-02 4.524884e-01 0.000831 1.027856e-06
3104 3.031250 8.12537181e-07 1.87123797e-05 0.043422 -0.009128 1.002765e-07 9.727397e-07 0.211586 2.895271e-03 1.486273e-02 4.537256e-01 0.000828 1.018707e-06
3136 3.062500 7.83815515e-07 1.85286309e-05 0.042303 -0.007924 9.675655e-08 9.526757e-07 0.210542 2.905678e-03 1.480582e-02 4.549866e-01 0.000827 1.009756e-06
3168 3.093750 7.56529523e-07 1.83508148e-05 0.041226 -0.006754 9.340969e-08 9.333055e-07 0.209462 2.915931e-03 1.474906e-02 4.562710e-01 0.000825 1.000999e-06
3200 3.125000 7.30604812e-07 1.81786869e-05 0.040190 -0.005620 9.022614e-08 9.145977e-07 0.208349 2.926029e-03 1.469248e-02 4.575782e-01 0.000824 9.924297e-07
3232 3.156250 7.05971282e-07 1.80120143e-05 0.039194 -0.004523 8.719677e-08 8.965226e-07 0.207205 2.935977e-03 1.463608e-02 4.589078e-01 0.000824 9.840436e-07
3264 3.187500 6.82562850e-07 1.78505753e-05 0.038238 -0.003464 8.431304e-08 8.790519e-07 0.206031 2.945776e-03 1.457988e-02 4.602594e-01 0.000824 9.758358e-07
3296 3.218750 6.60317189e-07 1.76941587e-05 0.037318 -0.002442 8.156695e-08 8.621589e-07 0.204828 2.955428e-03 1.452389e-02 4.616325e-01 0.000825 9.678018e-07
3328 3.250000 6.39175497e-07 1.75425631e-05 0.036436 -0.001460 7.895102e-08 8.458185e-07 0.203599 2.964935e-03 1.446812e-02 4.630267e-01 0.000827 9.599369e-07
3360 3.281250 6.19082270e-07 1.73955968e-05 0.035588 -0.000517 7.645821e-08 8.300067e-07 0.202344 2.974300e-03 1.441257e-02 4.644415e-01 0.000829 9.522368e-07
3392 3.312500 5.99985096e-07 1.72530768e-05 0.034776 0.000386 7.408197e-08 8.147006e-07 0.201067 2.983524e-03 1.435725e-02 4.658764e-01 0.000833 9.446973e-07
3424 3.343750 5.81834465e-07 1.71148283e-05 0.033996 0.001249 7.181611e-08 7.998789e-07 0.199768 2.992609e-03 1.430218e-02 4.673310e-01 0.000837 9.373142e-07
3456 3.375000 5.64583590e-07 1.69806849e-05 0.033249 0.002071 6.965485e-08 7.855209e-07 0.198449 3.001558e-03 1.424736e-02 4.688048e-01 0.000833 9.300833e-07
3488 3.406250 5.48188235e-07 1.68504874e-05 0.032532 0.002853 6.759276e-08 7.716074e-07 0.197112 3.010372e-03 1.419280e-02 4.702975e-01 0.000828 9.230010e-07
3520 3.437500 5.32606563e-07 1.67240838e-05 0.031847 0.003593 6.562474e-08 7.581197e-07 0.195759 3.019053e-03 1.413851e-02 4.718086e-01 0.000824 9.160632e-07
3552 3.468750 5.17798991e-07 1.66013289e-05 0.031190 0.004294 6.374599e-08 7.450404e-07 0.194391 3.027603e-03 1.408449e-02 4.733376e-01 0.000821 9.092665e-07
3584 3.500000 5.03728049e-07 1.64820841e-05 0.030562 0.004954 6.195200e-08 7.323528e-07 0.193009 3.036024e-03 1.403075e-02 4.748843e-01 0.000820 9.026071e-07
3616 3.531250 4.90358255e-07 1.63662167e-05 0.029962 0.005573 6.023855e-08 7.200410e-07 0.191616 3.044317e-03 1.397729e-02 4.764481e-01 0.000820 8.960815e-07
3648 3.562500 4.77655995e-07 1.62535997e-05 0.029388 0.006153 5.860163e-08 7.080899e-07 0.190212 3.052485e-03 1.392412e-02 4.780287e-01 0.000820 8.896865e-07
3680 3.593750 4.65589414e-07 1.61441118e-05 0.028840 0.006694 5.703749e-08 6.964851e-07 0.188800 3.060530e-03 1.387125e-02 4.796258e-01 0.000819 8.834187e-07
3712 3.625000 4.54128306e-07 1.60376369e-05 0.028316 0.007195 5.554260e-08 6.852129e-07 0.187381 3.068452e-03 1.381868e-02 4.812389e-01 0.000818 8.772750e-07
3744 3.656250 4.43244018e-07 1.59340637e-05 0.027817 0.007659 5.411361e-08 6.742602e-07 0.185956 3.076254e-03 1.376641e-02 4.828677e-01 0.000820 8.712521e-07
3776 3.687500 4.32909361e-07 1.58332858e-05 0.027342 0.008084 5.274737e-08 6.636146e-07 0.184527 3.083938e-03 1.371445e-02 4.845120e-01 0.000823 8.653472e-07
3808 3.718750 4.23098520e-07 1.57352013e-05 0.026889 0.008473 5.144093e-08 6.532643e-07 0.183094 3.091504e-03 1.366280e-02 4.861713e-01 0.000824 8.595572e-07
3840 3.750000 4.13786974e-07 1.56397125e-05 0.026457 0.008826 5.019146e-08 6.431979e-07 0.181660 3.098955e-03 1.361147e-02 4.878453e-01 0.000830 8.538794e-07
3872 3.781250 4.04951423e-07 1.55467256e-05 0.026047 0.009143 4.899632e-08 6.334046e-07 0.180226 3.106293e-03 1.356045e-02 4.895338e-01 0.000841 8.483109e-07
3904 3.812500 3.96569712e-07 1.54561511e-05 0.025658 0.009426 4.785300e-08 6.238742e-07 0.178793 3.113518e-03 1.350976e-02 4.912364e-01 0.000847 8.428492e-07
3936 3.843750 3.88620770e-07 1.53679029e-05 0.025288 0.009676 4.675912e-08 6.145968e-07 0.177362 3.120633e-03 1.345939e-02 4.929530e-01 0.000836 8.374915e-07
3968 3.875000 3.81084545e-07 1.52818984e-05 0.024937 0.009893 4.571243e-08 6.055630e-07 0.175934 3.127638e-03 1.340935e-02 4.946831e-01 0.000830 8.322353e-07
4000 3.906250 3.73941944e-07 1.51980585e-05 0.024605 0.010080 4.471081e-08 5.967640e-07 0.174510 3.134536e-03 1.335964e-02 4.964266e-01 0.000826 8.270782e-07
4032 3.937500 3.67174782e-07 1.51163073e-05 0.024290 0.010236 4.375223e-08 5.881910e-07 0.173092 3.141328e-03 1.331025e-02 4.981831e-01 0.000825 8.220178e-07
4064 3.968750 3.60765727e-07 1.50365719e-05 0.023993 0.010363 4.283477e-08 5.798360e-07 0.171681 3.148015e-03 1.326120e-02 4.999526e-01 0.000824 8.170517e-07
4096 4.000000 3.54698255e-07 1.49587824e-05 0.023712 0.010463 4.195661e-08 5.716912e-07 0.170276 3.154599e-03 1.321248e-02 5.017346e-01 0.000824 8.121776e-07
