# Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
# precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
# N 224   R 89.60 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
# nu 1.792000e-02   eta 1.792000e-02   magnetic wall: INSULATING (B = 0)
# eps 2.00 / 2.00   smooth 1.00   IC kmax 6  k0 4.0  seed 99
# one turnover 2R/u0 = 3584 steps; running 7168 (2.0 turnovers)
#
# step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
2604  0.727  3.957e-05  8.008e-05    0.494  0.0306 1.355e-06 3.196e-06  -0.0062 1.88e-03 6.99e-02 3.17e-01  0.2696  0.006 -4.62e-06
2632  0.734  3.870e-05  7.861e-05    0.492  0.0290 1.315e-06 3.105e-06  -0.0069 1.88e-03 6.80e-02 3.19e-01  0.2705  0.006 -4.71e-06
2660  0.742  3.785e-05  7.718e-05    0.490  0.0274 1.276e-06 3.018e-06  -0.0077 1.88e-03 6.61e-02 3.20e-01  0.2713  0.006 -4.81e-06
2688  0.750  3.703e-05  7.579e-05    0.489  0.0258 1.238e-06 2.934e-06  -0.0085 1.89e-03 6.44e-02 3.21e-01  0.2721  0.006 -4.90e-06
2716  0.758  3.623e-05  7.444e-05    0.487  0.0242 1.202e-06 2.853e-06  -0.0093 1.89e-03 6.27e-02 3.23e-01  0.2729  0.006 -4.99e-06
2744  0.766  3.546e-05  7.312e-05    0.485  0.0227 1.168e-06 2.775e-06  -0.0101 1.89e-03 6.11e-02 3.24e-01  0.2737  0.006 -5.08e-06
2772  0.773  3.470e-05  7.183e-05    0.483  0.0212 1.134e-06 2.700e-06  -0.0108 1.90e-03 5.95e-02 3.25e-01  0.2743  0.006 -5.17e-06
2800  0.781  3.397e-05  7.058e-05    0.481  0.0198 1.102e-06 2.627e-06  -0.0116 1.90e-03 5.78e-02 3.27e-01  0.2750  0.006 -5.27e-06
2828  0.789  3.326e-05  6.937e-05    0.480  0.0184 1.071e-06 2.557e-06  -0.0124 1.90e-03 5.62e-02 3.28e-01  0.2756  0.006 -5.36e-06
2856  0.797  3.257e-05  6.818e-05    0.478  0.0170 1.042e-06 2.490e-06  -0.0131 1.91e-03 5.47e-02 3.29e-01  0.2763  0.006 -5.45e-06
2884  0.805  3.190e-05  6.703e-05    0.476  0.0157 1.013e-06 2.425e-06  -0.0139 1.91e-03 5.33e-02 3.30e-01  0.2771  0.006 -5.55e-06
2912  0.812  3.125e-05  6.591e-05    0.474  0.0143 9.856e-07 2.362e-06  -0.0147 1.91e-03 5.21e-02 3.32e-01  0.2778  0.006 -5.64e-06
2940  0.820  3.062e-05  6.481e-05    0.472  0.0130 9.591e-07 2.301e-06  -0.0155 1.91e-03 5.08e-02 3.33e-01  0.2785  0.006 -5.74e-06
2968  0.828  3.000e-05  6.374e-05    0.471  0.0117 9.336e-07 2.242e-06  -0.0162 1.92e-03 4.97e-02 3.34e-01  0.2791  0.006 -5.84e-06
2996  0.836  2.940e-05  6.270e-05    0.469  0.0104 9.089e-07 2.186e-06  -0.0170 1.92e-03 4.87e-02 3.35e-01  0.2797  0.006 -5.93e-06
3024  0.844  2.882e-05  6.168e-05    0.467  0.0091 8.852e-07 2.131e-06  -0.0177 1.92e-03 4.77e-02 3.36e-01  0.2804  0.006 -6.02e-06
3052  0.852  2.825e-05  6.068e-05    0.466  0.0078 8.623e-07 2.078e-06  -0.0184 1.92e-03 4.67e-02 3.37e-01  0.2810  0.006 -6.12e-06
3080  0.859  2.770e-05  5.971e-05    0.464  0.0065 8.402e-07 2.027e-06  -0.0192 1.92e-03 4.57e-02 3.38e-01  0.2817  0.006 -6.22e-06
3108  0.867  2.717e-05  5.877e-05    0.462  0.0053 8.189e-07 1.977e-06  -0.0199 1.93e-03 4.46e-02 3.40e-01  0.2824  0.005 -6.32e-06
3136  0.875  2.664e-05  5.784e-05    0.461  0.0041 7.983e-07 1.929e-06  -0.0206 1.93e-03 4.37e-02 3.41e-01  0.2832  0.005 -6.42e-06
3164  0.883  2.613e-05  5.694e-05    0.459  0.0029 7.784e-07 1.883e-06  -0.0214 1.93e-03 4.27e-02 3.42e-01  0.2839  0.005 -6.52e-06
3192  0.891  2.564e-05  5.606e-05    0.457  0.0018 7.592e-07 1.838e-06  -0.0221 1.93e-03 4.18e-02 3.43e-01  0.2846  0.005 -6.62e-06
3220  0.898  2.516e-05  5.519e-05    0.456  0.0007 7.406e-07 1.794e-06  -0.0228 1.93e-03 4.10e-02 3.44e-01  0.2854  0.005 -6.72e-06
3248  0.906  2.468e-05  5.435e-05    0.454 -0.0003 7.227e-07 1.752e-06  -0.0234 1.93e-03 4.02e-02 3.45e-01  0.2861  0.005 -6.82e-06
3276  0.914  2.423e-05  5.353e-05    0.453 -0.0013 7.053e-07 1.711e-06  -0.0241 1.93e-03 3.93e-02 3.46e-01  0.2868  0.005 -6.93e-06
3304  0.922  2.378e-05  5.272e-05    0.451 -0.0022 6.885e-07 1.671e-06  -0.0248 1.93e-03 3.85e-02 3.47e-01  0.2875  0.005 -7.03e-06
3332  0.930  2.334e-05  5.193e-05    0.450 -0.0031 6.722e-07 1.633e-06  -0.0255 1.93e-03 3.80e-02 3.48e-01  0.2882  0.005 -7.14e-06
3360  0.938  2.292e-05  5.116e-05    0.448 -0.0040 6.565e-07 1.596e-06  -0.0261 1.94e-03 3.77e-02 3.49e-01  0.2890  0.005 -7.24e-06
3388  0.945  2.250e-05  5.040e-05    0.446 -0.0048 6.412e-07 1.559e-06  -0.0268 1.94e-03 3.74e-02 3.50e-01  0.2897  0.005 -7.35e-06
3416  0.953  2.210e-05  4.967e-05    0.445 -0.0056 6.264e-07 1.524e-06  -0.0274 1.94e-03 3.71e-02 3.51e-01  0.2904  0.005 -7.45e-06
3444  0.961  2.170e-05  4.894e-05    0.443 -0.0064 6.121e-07 1.490e-06  -0.0281 1.94e-03 3.68e-02 3.52e-01  0.2910  0.005 -7.56e-06
3472  0.969  2.132e-05  4.823e-05    0.442 -0.0072 5.981e-07 1.457e-06  -0.0287 1.94e-03 3.65e-02 3.53e-01  0.2916  0.005 -7.66e-06
3500  0.977  2.094e-05  4.754e-05    0.441 -0.0079 5.846e-07 1.424e-06  -0.0293 1.94e-03 3.61e-02 3.54e-01  0.2923  0.005 -7.77e-06
3528  0.984  2.057e-05  4.686e-05    0.439 -0.0086 5.715e-07 1.393e-06  -0.0299 1.94e-03 3.58e-02 3.56e-01  0.2929  0.005 -7.89e-06
3556  0.992  2.022e-05  4.620e-05    0.438 -0.0093 5.588e-07 1.362e-06  -0.0305 1.94e-03 3.55e-02 3.57e-01  0.2936  0.005 -8.00e-06
3584  1.000  1.987e-05  4.554e-05    0.436 -0.0100 5.464e-07 1.333e-06  -0.0311 1.94e-03 3.52e-02 3.58e-01  0.2942  0.005 -8.11e-06
3612  1.008  1.952e-05  4.491e-05    0.435 -0.0106 5.344e-07 1.304e-06  -0.0317 1.94e-03 3.49e-02 3.59e-01  0.2948  0.005 -8.22e-06
3640  1.016  1.919e-05  4.428e-05    0.433 -0.0113 5.227e-07 1.276e-06  -0.0323 1.94e-03 3.47e-02 3.60e-01  0.2954  0.005 -8.33e-06
3668  1.023  1.886e-05  4.367e-05    0.432 -0.0119 5.114e-07 1.248e-06  -0.0329 1.94e-03 3.45e-02 3.61e-01  0.2960  0.005 -8.45e-06
3696  1.031  1.854e-05  4.307e-05    0.431 -0.0125 5.004e-07 1.222e-06  -0.0335 1.94e-03 3.44e-02 3.62e-01  0.2966  0.005 -8.56e-06
3724  1.039  1.823e-05  4.248e-05    0.429 -0.0130 4.896e-07 1.196e-06  -0.0341 1.94e-03 3.43e-02 3.63e-01  0.2971  0.005 -8.67e-06
3752  1.047  1.792e-05  4.190e-05    0.428 -0.0136 4.792e-07 1.170e-06  -0.0347 1.94e-03 3.41e-02 3.64e-01  0.2977  0.005 -8.79e-06
3780  1.055  1.763e-05  4.133e-05    0.426 -0.0141 4.690e-07 1.146e-06  -0.0353 1.94e-03 3.40e-02 3.65e-01  0.2982  0.005 -8.91e-06
3808  1.062  1.733e-05  4.078e-05    0.425 -0.0146 4.591e-07 1.122e-06  -0.0359 1.94e-03 3.38e-02 3.66e-01  0.2988  0.005 -9.03e-06
3836  1.070  1.705e-05  4.023e-05    0.424 -0.0150 4.495e-07 1.098e-06  -0.0364 1.94e-03 3.36e-02 3.67e-01  0.2993  0.005 -9.15e-06
3864  1.078  1.677e-05  3.970e-05    0.422 -0.0154 4.401e-07 1.075e-06  -0.0370 1.94e-03 3.34e-02 3.68e-01  0.2998  0.005 -9.26e-06
3892  1.086  1.650e-05  3.918e-05    0.421 -0.0158 4.309e-07 1.053e-06  -0.0376 1.94e-03 3.32e-02 3.69e-01  0.3003  0.005 -9.38e-06
3920  1.094  1.623e-05  3.866e-05    0.420 -0.0162 4.220e-07 1.031e-06  -0.0382 1.94e-03 3.31e-02 3.70e-01  0.3008  0.005 -9.50e-06
3948  1.102  1.597e-05  3.816e-05    0.418 -0.0165 4.134e-07 1.010e-06  -0.0388 1.94e-03 3.28e-02 3.71e-01  0.3012  0.005 -9.62e-06
